"","Treatment","ATT.adj","ATT.noadj","ATT.pvalue","minimumBalance"
"1",35,0.0105498515944655,0.0134605731058733,0.320230807890906,0.51208
"2",36,0.0135490664691846,0.0131158332907928,0.188394470258845,0.687482277312966
"3",37,0.0135490664691846,0.0131158332907928,0.188394470258845,0.687482277312966
"4",38,0.011082625287179,0.0158164927325433,0.224663244268057,0.85832
"5",39,0.0122094964632538,0.0167381582823243,0.158361182120436,0.8572
"6",40,0.0185522949234579,0.0190144181178781,0.0361426215981775,0.70116
"7",41,0.0155463554650995,0.0157393106252843,0.0753976590378445,0.607953095402967
"8",42,0.0123469214262553,0.0130051124264932,0.162050434613542,0.697150384403263
"9",43,-0.00103448149775867,0.000459288625395178,0.904939676417955,0.59104801190383
"10",44,-0.00487402071682902,-0.00289126109463317,0.604310948199346,0.577279180677064
"11",45,-0.00567524518591932,-0.00428989866326431,0.551652312135456,0.438639992989199
"12",46,-0.00590995419234507,-0.00472883843874303,0.525656755957991,0.479077625281461
"13",47,0.00103274355738175,0.00222077936570495,0.898134955771892,0.431935775031787
"14",48,0.00360873682458952,0.00472622410176162,0.655239948904285,0.390746489586969
"15",49,-0.00330445368222879,-0.00232378374287321,0.700182785477182,0.57584
"16",50,-0.00455726590363657,-0.0031139754924993,0.624367123955312,0.593480854201642
"17",51,-0.00150364261732735,-0.000954552314344079,0.877531872758201,0.65352
"18",52,-0.00286811728859583,-0.000951106061447625,0.764803398032862,0.5988764439178
"19",53,-0.00744589993590481,-0.00517730137489563,0.469739812505314,0.520548275243223
"20",54,-0.00368470234258133,-0.00175848712589934,0.700555764688342,0.515027025806481
"21",55,-0.000653079662380741,0.00146346905039662,0.940072709370852,0.39171215942388
"22",56,-0.00240576772857691,0.00185245721220411,0.799881823448495,0.34988
"23",57,-0.000202019526136416,0.00263039895397477,0.985608759445853,0.50292
"24",58,0.00249888139521119,0.00410918285630029,0.806037426402582,0.405
"25",59,-0.00954116190768768,-0.00564136175421246,0.395395396183705,0.2498
"26",60,-0.0137080688939186,-0.00850249191951784,0.217639062767553,0.26056
"27",61,-0.00363968451874805,0.000657713523117054,0.742655673654171,0.15524
"28",62,-0.00717240422379366,-0.00600536205216503,0.549036687843131,0.110680206788127
